Arp,Name,VT,u_VT,dim1,dim2,u_dim2,MType,Uchart,RAJ2000,DEJ2000,Const
13,NGC 7448,11.6,,2.7,1.2,,SA(rs)bc,213,23 00 02.4,+15 59 22,Pegasus
25,NGC 2276,11.4,,2.8,2.7,,SAB(rs)c,1,07 27 13.0,+85 45 20,Cepheus
26,M 101,7.9,,28.9,27.0,,SAB(rs)cd I,49,14 03 12.7,+54 21 02,Ursa Major
28,NGC 7678,11.8,,2.4,1.7,,SAB(rs)c I-II,169,23 28 27.8,+22 25 16,Pegasus
29,NGC 6946,8.8,,11.6,9.9,,SAB(rs)cd,32,20 34 52.2,+60 09 14,Cepheus
38,NGC 6412,11.7,,2.5,2.2,,SAS5,12,17 29 36.2,+75 42 17,Draco
84,NGC 5395,11.4,,2.9,1.6,,SA(s)b pec,110,13 58 38.3,+37 25 32,Canes Venatici
85,M 51,8.4,,11.4,7.0,,SA(s)bc pec,76,13 29 52.3,+47 11 54,Canes Venatici
86,NGC 7753,12.0,,3.3,2.1,,SAB(rs)bc I,89,23 47 04.7,+29 29 01,Pegasus
168,M 32,9.0,,8.8,6.5,,cE2,60,00 42 41.8,+40 51 52,Andromeda
178,NGC 5614,11.7,,2.5,2.0,,SA(r)ab pec,111,14 24 07.5,+34 51 31,Boötes
185,NGC 6217,11.2,,3.0,2.5,,(R)SB(rs)bc,11,16 32 40.0,+78 11 57,Ursa Minor
213,IC 0356,10.5,,5.3,3.9,,SA(s)ab pec,18,04 07 47.1,+69 48 47,Camelopardalis
225,NGC 2655,10.1,,4.9,4.1,,SAB(s)0/a,7,08 55 38.8,+78 13 28,Camelopardalis
331,NGC 0383,11.9,,1.6,1.4,,SA0-,91,01 07 24.9,+32 24 45,Pisces
